Probe_ID	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Normal14	Normal15	Normal16	Normal17	Normal18	Normal19	Normal20	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor17	Tumor18	Tumor19	Tumor20	Tumor21	Tumor22	Tumor23	Tumor24	Tumor25	Tumor26	Tumor27	Tumor28	Tumor29	Tumor30
Marker21	0.023374621	0.033767707	0.032953937	0.062354342	0.052190323	0.024326021	0.027569779	0.022680688	0.019530654	0.049105983	0.051608661	0.033728757	0.037993652	0.049747911	0.036658368	0.031811852	0.025538977	0.049170203	0.032807203	0.031780916	0.148393527	0.268841258	0.041698699	0.629723495	0.734532712	0.112736537	0.248169476	0.156903664	0.548481251	0.335211992	0.339285431	0.326070745	0.466548196	0.13293011	0.195092004	0.02869385	0.233906696	0.524437999	0.160972171	0.023471092	0.338321083	0.253034505	0.123538733	0.402329737	0.038938556	0.078233968	0.086207613	0.087588678	0.042606406	0.521745247
Marker22	0.030481212	0.030881155	0.03613171	0.031008321	0.024914364	0.029843729	0.044742863	0.038599623	0.033843269	0.027063068	0.02416057	0.032942091	0.032068915	0.031859149	0.028618665	0.03069417	0.036261822	0.036420493	0.054941215	0.033050201	0.693772353	0.166327756	0.02838706	0.04262115	0.615846746	0.344700326	0.34797829	0.145365048	0.221780776	0.168783214	0.139556112	0.049730951	0.262347397	0.262571323	0.063872418	0.029008804	0.325136992	0.036240128	0.098661271	0.020574659	0.330680025	0.560562229	0.106456437	0.159643207	0.069304213	0.418428095	0.056546244	0.037531136	0.027883052	0.386427313
Marker23	0.045269967	0.081486744	0.029173539	0.049303603	0.091633975	0.049175632	0.055118823	0.037177964	0.03884205	0.039103695	0.031332795	0.065531749	0.028427847	0.026027276	0.030732197	0.034076994	0.04907418	0.071770102	0.029830467	0.030633952	0.495520446	0.023798434	0.047315618	0.110898751	0.257491095	0.114715224	0.153431076	0.498634211	0.349778803	0.277640949	0.337967133	0.180877244	0.397095614	0.031450051	0.234825651	0.085627485	0.167556068	0.081504123	0.086950501	0.119780765	0.276755479	0.332113217	0.130030428	0.135661959	0.052733903	0.056255133	0.06950593	0.243948881	0.220422236	0.110315066
Marker24	0.02656362	0.024049997	0.031524017	0.029070916	0.025270192	0.02730343	0.038449571	0.023470434	0.025459911	0.031668851	0.02369681	0.026492265	0.026687789	0.027878098	0.028162751	0.02877231	0.026799609	0.025762941	0.034240634	0.030786536	0.446683322	0.776361556	0.06403597	0.405580936	0.046083847	0.048905336	0.147532532	0.057787661	0.170348107	0.031862998	0.131351523	0.064880974	0.319207601	0.30072049	0.039324632	0.028076846	0.240300138	0.322872005	0.035775693	0.03218528	0.032500551	0.236528595	0.032513075	0.024132141	0.034944813	0.594302071	0.10535816	0.115293734	0.031141862	0.567363622
Marker25	0.015448689	0.017848901	0.013277229	0.039068096	0.018775577	0.014701355	0.016835068	0.014197983	0.016907279	0.017419064	0.019361248	0.019957483	0.01774748	0.016490729	0.014274254	0.015471316	0.019316444	0.015506708	0.015767192	0.015153843	0.314333161	0.528983154	0.015280349	0.642776596	0.277436455	0.431288377	0.301651907	0.166223404	0.233928836	0.344025939	0.023438729	0.036725866	0.303252078	0.015867048	0.047471309	0.014721463	0.074180245	0.461517005	0.19319225	0.309094781	0.412054577	0.442987615	0.031354235	0.365586898	0.338081172	0.503679083	0.017531562	0.069171668	0.013332031	0.088268928
Marker26	0.028557094	0.029592546	0.042963085	0.024706856	0.035316794	0.023214363	0.042974451	0.023971354	0.033457495	0.048504377	0.033350079	0.038759978	0.031351209	0.048709296	0.036517102	0.032865151	0.045509058	0.020143289	0.042377411	0.043716259	0.611212812	0.193797448	0.03126501	0.410831758	0.41325993	0.19136293	0.254894592	0.375948071	0.214568074	0.189404181	0.244374797	0.14802646	0.263748056	0.226081905	0.042739958	0.041523156	0.362584005	0.356700494	0.043135896	0.117886678	0.346386044	0.449154126	0.026424044	0.073383615	0.117342111	0.342564213	0.030011022	0.086550763	0.037600283	0.364755527
Marker27	0.038452079	0.04156537	0.032691848	0.050323273	0.037470348	0.035612296	0.029847369	0.051491094	0.031872214	0.028404716	0.035093227	0.060502311	0.032281226	0.036850637	0.028436036	0.032154472	0.029905444	0.032006239	0.034133239	0.025690489	0.273731093	0.436878977	0.048115632	0.429784694	0.217838137	0.091394941	0.55525542	0.038489697	0.387371994	0.3006108	0.078054861	0.036983444	0.405200566	0.407030448	0.258461664	0.03547039	0.389658831	0.167199184	0.036962794	0.04219504	0.084491895	0.38210889	0.241980051	0.7486201	0.03543849	0.088837164	0.034809025	0.045219734	0.034340039	0.156483791
Marker28	0.040746269	0.038236296	0.035258117	0.029682071	0.036708174	0.023889155	0.050562282	0.025552259	0.029420518	0.039869762	0.022981712	0.032232444	0.022257342	0.024025536	0.024761334	0.028937482	0.028448557	0.025877837	0.033164914	0.025379827	0.561583701	0.704373162	0.055484179	0.692217578	0.528122886	0.225603657	0.467642765	0.429655169	0.371901156	0.380885249	0.316014492	0.158703846	0.317525656	0.257600489	0.237227804	0.042708301	0.467110741	0.317592617	0.052601309	0.465444167	0.292477257	0.324742551	0.283935222	0.614253573	0.25926311	0.522125294	0.060478525	0.256939653	0.552688489	0.375685848
Marker29	0.027085769	0.030356224	0.067583248	0.032119652	0.020363303	0.026204302	0.028641289	0.030676255	0.026750373	0.035338401	0.019209783	0.02596339	0.020095338	0.088920228	0.033223131	0.021652	0.020015376	0.016877229	0.02635719	0.022280116	0.67664006	0.18473876	0.026771037	0.453264494	0.728993061	0.40084324	0.547624923	0.26673734	0.367924813	0.317243365	0.458421498	0.199100889	0.323436611	0.346136521	0.096174158	0.023796566	0.447439022	0.4472677	0.137691133	0.238034491	0.432496611	0.363769917	0.406509563	0.404259568	0.120222992	0.31645015	0.041925506	0.098461832	0.035046336	0.621209502
Marker30	0.022169579	0.022594321	0.025196249	0.024932936	0.021475176	0.023715081	0.021060618	0.02471732	0.023311006	0.021596138	0.020621111	0.027995468	0.020878126	0.063550125	0.0198006	0.022357473	0.019443549	0.018044948	0.026406121	0.020819158	0.300730105	0.425244382	0.027862306	0.447765545	0.437481728	0.133147701	0.084882348	0.083704433	0.197309999	0.219027655	0.201353343	0.066375949	0.188368135	0.184753665	0.037226062	0.024055424	0.200241001	0.14782646	0.054726891	0.077080771	0.190183116	0.184854915	0.116702819	0.289255076	0.033059033	0.19028819	0.02975903	0.045996524	0.029463359	0.06346293
Marker31	0.031965569	0.028829453	0.036631099	0.02855638	0.028297961	0.022754963	0.023158138	0.026314227	0.026132975	0.02790639	0.022469121	0.029275538	0.024157662	0.025496581	0.027422656	0.029859087	0.028278204	0.027071438	0.029146956	0.025003749	0.703817051	0.033766862	0.027856087	0.531428655	0.749904125	0.351874488	0.392921401	0.209869947	0.475824493	0.45066564	0.471175511	0.236483689	0.467271001	0.035513701	0.118013502	0.027129736	0.16184584	0.227344499	0.091312451	0.181410153	0.465815637	0.192640934	0.039482645	0.228384377	0.092050974	0.460682452	0.058743329	0.087713965	0.03433682	0.040624703
